distance,density,season
0,5,wet
0.25,5,wet
0.6,5,wet
0.6,5,wet
0.6,5,wet
1,5,wet
1,5,wet
1,5,wet
1,5,wet
1.5,5,wet
1.5,5,wet
1.5,5,wet
1.5,5,wet
1.5,5,wet
1.6,5,wet
2,5,wet
2,5,wet
2.5,5,wet
3,5,wet
3,5,wet
3,5,wet
3.5,5,wet
4,5,wet
4,5,wet
4,5,wet
4,5,wet
4,5,wet
4,5,wet
4,5,wet
5,5,wet
5,5,wet
5,5,wet
5,5,wet
5,5,wet
5,5,wet
5,5,wet
5,5,wet
6,5,wet
6,5,wet
6,5,wet
6,5,wet
6,5,wet
7,5,wet
7,5,wet
7,5,wet
8,5,wet
8,5,wet
8,5,wet
8,5,wet
9,5,wet
9,5,wet
10,5,wet
10,5,wet
10,5,wet
12,5,wet
13,5,wet
14,5,wet
18,5,wet
20,5,wet
0.2,15,wet
0.3,15,wet
0.3,15,wet
0.4,15,wet
0.4,15,wet
0.4,15,wet
0.4,15,wet
0.4,15,wet
0.5,15,wet
0.5,15,wet
0.6,15,wet
0.6,15,wet
0.6,15,wet
0.6,15,wet
0.6,15,wet
0.7,15,wet
0.7,15,wet
1,15,wet
1,15,wet
1,15,wet
1,15,wet
1,15,wet
1,15,wet
1,15,wet
1.2,15,wet
1.2,15,wet
1.5,15,wet
1.5,15,wet
1.5,15,wet
1.5,15,wet
1.5,15,wet
1.5,15,wet
1.5,15,wet
1.5,15,wet
1.5,15,wet
1.5,15,wet
1.5,15,wet
1.7,15,wet
2,15,wet
2,15,wet
2,15,wet
2,15,wet
2,15,wet
2,15,wet
2,15,wet
2,15,wet
2,15,wet
2,15,wet
2,15,wet
2,15,wet
2.5,15,wet
2.5,15,wet
2.5,15,wet
2.5,15,wet
2.5,15,wet
2.5,15,wet
2.5,15,wet
2.5,15,wet
2.5,15,wet
2.5,15,wet
2.5,15,wet
3,15,wet
3,15,wet
3,15,wet
3,15,wet
3,15,wet
3,15,wet
3,15,wet
3,15,wet
3,15,wet
3,15,wet
3,15,wet
3,15,wet
3,15,wet
3,15,wet
3.5,15,wet
3.5,15,wet
3.5,15,wet
3.5,15,wet
4,15,wet
4,15,wet
4,15,wet
4,15,wet
4,15,wet
4,15,wet
4,15,wet
5,15,wet
5,15,wet
5,15,wet
5,15,wet
5,15,wet
5,15,wet
5,15,wet
6,15,wet
6,15,wet
6,15,wet
6,15,wet
6,15,wet
7,15,wet
7,15,wet
7,15,wet
7,15,wet
7,15,wet
7,15,wet
7,15,wet
7,15,wet
8,15,wet
8,15,wet
8,15,wet
8,15,wet
8,15,wet
9,15,wet
9,15,wet
9,15,wet
10,15,wet
10,15,wet
10,15,wet
10,15,wet
10,15,wet
11,15,wet
11,15,wet
12,15,wet
13,15,wet
13,15,wet
13,15,wet
15,15,wet
15,15,wet
15,15,wet
16,15,wet
17,15,wet
18,15,wet
20,15,wet
0,30,wet
0,30,wet
0,30,wet
0,30,wet
0.2,30,wet
0.3,30,wet
0.3,30,wet
0.3,30,wet
0.3,30,wet
0.3,30,wet
0.3,30,wet
0.4,30,wet
0.4,30,wet
0.4,30,wet
0.4,30,wet
0.4,30,wet
0.4,30,wet
0.4,30,wet
0.5,30,wet
0.5,30,wet
0.5,30,wet
0.5,30,wet
0.5,30,wet
